run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMRegimeEnv,21,COMPLETE,0.691125,10.8088,15.6395,30000,5,3.100163204014984e-05,512,64,3,0.9138400020825932,0.0008381560558755319,0.1,0.8818002142140647
tuned_v1,PPOAgent,ABMRegimeEnv,22,COMPLETE,0.540861,13.1684,24.3471,30000,5,5.93273033261551e-05,512,64,3,0.9163341040869993,0.0022306220914556836,0.1,0.8776522239716072
tuned_v1,PPOAgent,ABMRegimeEnv,23,COMPLETE,0.001838,0.064,34.8358,30000,5,3.530641261553107e-05,512,64,5,0.9378782702843511,0.00023564617100816393,0.1,0.969181538504838
tuned_v1,PPOAgent,ABMRegimeEnv,24,COMPLETE,-0.441781,-11.5743,26.1992,30000,5,1.9506097280316123e-05,512,64,4,0.901594322933702,0.0006409346222474449,0.1,0.8911169675706351
tuned_v1,PPOAgent,ABMRegimeEnv,25,COMPLETE,-0.221629,-1.4851,6.7009,30000,5,7.795525595751809e-05,1024,64,3,0.9229892583231065,0.0011985291554395922,0.2,0.8361596725156568
tuned_v1,PPOAgent,ABMRegimeEnv,26,COMPLETE,0.335582,14.8856,44.3577,30000,5,1.0672642573127297e-05,512,64,2,0.9102331561260474,0.009903457488087797,0.1,0.9176134140779535
tuned_v1,PPOAgent,ABMRegimeEnv,27,COMPLETE,0.786373,38.7907,49.3286,30000,5,2.7250418122266616e-05,512,64,3,0.9206046771468676,0.0002055309345472721,0.1,0.8765250307910164
tuned_v1,PPOAgent,ABMRegimeEnv,28,COMPLETE,0.808114,10.1996,12.6215,30000,5,3.824808135608342e-05,2048,64,4,0.9368075744737802,0.00020904981288214283,0.1,0.8643371635270075
tuned_v1,PPOAgent,ABMRegimeEnv,29,COMPLETE,-0.40248,-4.7599,11.8265,30000,5,0.00011838081013088741,2048,128,5,0.9535158763458219,0.00015046306550521132,0.1,0.8518701885308062
tuned_v1,PPOAgent,ABMJumpRegimeEnv,0,COMPLETE,0.05727,0.6904,12.0555,30000,5,0.0001329291894316216,512,512,7,0.9708072577796045,0.00011527987128232407,0.1,0.8363649934414201
tuned_v1,PPOAgent,ABMJumpRegimeEnv,1,COMPLETE,1.322895,21.965,16.6038,30000,5,3.5498788321965036e-05,1024,128,5,0.9456069984217036,0.02267398652378041,0.3,0.8092900825439996
tuned_v1,PPOAgent,ABMJumpRegimeEnv,2,COMPLETE,-0.393258,-5.1705,13.1478,30000,5,0.0006647135865318024,2048,64,8,0.9440152493739602,0.00023233503515390126,0.3,0.8517559963200034
tuned_v1,PPOAgent,ABMJumpRegimeEnv,3,COMPLETE,0.023681,0.2602,10.9867,30000,5,0.0009717775305059633,2048,128,10,0.9597899978811085,0.058293845429947415,0.2,0.8650660661526529
tuned_v1,PPOAgent,ABMJumpRegimeEnv,4,COMPLETE,0.923866,9.8158,10.6247,30000,5,0.00014656553886225324,1024,512,2,0.9986886936600518,0.020736445177905034,0.3,0.9413714687695235
tuned_v1,PPOAgent,ABMJumpRegimeEnv,5,COMPLETE,-0.108623,-3.8345,35.301,30000,5,0.0015382308040279,512,128,2,0.9310982321715663,0.0009452571391072313,0.3,0.8944429850323898
tuned_v1,PPOAgent,ABMJumpRegimeEnv,6,COMPLETE,0.272127,9.2786,34.0965,30000,5,2.284455685002053e-05,1024,64,2,0.9107891426993304,0.000124247470836602,0.1,0.9815132947852186
